"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1623","","","A7","D","107","01:29:28:16","01:29:32:23","01:29:28:16","01:29:32:23","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1624","","","V1","C","","00:07:18:17","00:07:21:14","01:29:30:21","01:29:33:18","mt-mtt-519b","","00:00:00:00","00:12:16:06","00:12:16:06","H.264","23.976","1920x1080","Cocoa,ResolveColorGreen,ResolveColorBlue","","",""
"1625","","","V5","C","","00:07:18:17","00:07:21:14","01:29:31:06","01:29:34:03","mt-mtt-519b","","00:00:00:00","00:12:16:06","00:12:16:06","H.264","23.976","1920x1080","Cocoa,ResolveColorGreen,ResolveColorBlue","","",""
"1626","","","A11","C","","00:00:00:01","00:00:07:20","01:29:31:20","01:29:39:14","Audio Process Stream","","00:00:00:00","00:00:07:20","00:00:07:20","","25.000","","","","",""
"1627","","","V1","C","","00:08:08:07","00:08:10:06","01:29:33:18","01:29:35:18","mt-mtt-519b","","00:00:00:00","00:12:16:06","00:12:16:06","H.264","23.976","1920x1080","Cocoa,ResolveColorGreen,ResolveColorBlue","","",""
"1628","","","A5","C","","00:00:02:14","00:00:18:18","01:29:33:18","01:29:49:22","1-97 CarVolkswagen--Ext- Pass By","","00:00:00:00","00:00:20:14","00:00:20:14","","25.000","","","","",""
"1629","","","V5","C","","00:08:21:08","00:08:24:02","01:29:34:03","01:29:36:22","mt-mtt-519b","","00:00:00:00","00:12:16:06","00:12:16:06","H.264","23.976","1920x1080","Cocoa,ResolveColorGreen,ResolveColorBlue","","",""
"1630","","","V1","C","","00:10:37:11","00:10:42:22","01:29:35:18","01:29:41:05","mt-mtt-519b","","00:00:00:00","00:12:16:06","00:12:16:06","H.264","23.976","1920x1080","Cocoa,ResolveColorGreen,ResolveColorBlue","","",""
"1631","","","V5","C","","00:10:38:15","00:10:42:22","01:29:36:22","01:29:41:05","mt-mtt-519b","","00:00:00:00","00:12:16:06","00:12:16:06","H.264","23.976","1920x1080","Cocoa,ResolveColorGreen,ResolveColorBlue","","",""
"1632","","","A4","C","","00:00:00:11","00:00:12:03","01:29:38:03","01:29:49:20","City-Fire-Engine-Sirens-01","","00:00:00:00","00:01:04:19","00:01:04:19","","25.000","","","","",""
"1633","","","V1","C","","00:00:00:00","00:00:04:16","01:29:41:05","01:29:45:21","OCD Exercice Large 01","","00:00:00:00","00:00:05:00","00:00:05:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1634","","","V5","C","","00:00:17:01","00:00:19:22","01:29:41:05","01:29:43:23","New York City Air Raid Drill 502484471 19411212","","00:00:00:00","00:00:54:29","00:00:54:29","H.264","29.970","480x360","Green","","",""
"1635","","","A3","C","","00:00:56:20","00:01:01:11","01:29:41:05","01:29:45:21","1-19 Crowd, Outdoor (Large Crowd_ Adults And Children General Ambience)","","00:00:00:00","00:03:02:21","00:03:02:21","","25.000","","","","",""
"1636","","","A3","D","25","01:29:41:05","01:29:42:05","01:29:41:05","01:29:42:05","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1637","","","A11","C","","00:00:00:01","00:00:04:16","01:29:43:13","01:29:48:03","Audio Process Stream","","00:00:00:00","00:00:04:16","00:00:04:16","","25.000","","","","",""
"1638","","","V5","C","","10:03:00:19","10:02:57:15","01:29:43:23","01:29:47:02","AKH_M2894","","10:00:00:00","10:13:01:10","00:13:01:10","H.264","25.000","768x576","Green","","",""
"M2","","","","","-25.0","10:03:00:19","","","","","","","","","","","","","","",""
"1639","","","A4","D","147","01:29:43:23","01:29:49:20","01:29:43:23","01:29:49:20","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1640","","","A3","D","31","01:29:44:14","01:29:45:21","01:29:44:14","01:29:45:21","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1641","","","V1","C","","00:00:00:00","00:00:04:01","01:29:45:21","01:29:49:22","Roosevelt avec Morgenthau voiture 01","","00:00:00:00","00:00:05:01","00:00:05:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1642","","","V5","C","","00:00:32:23","00:00:35:17","01:29:47:02","01:29:49:20","gettyimages-170151560-640_adpp","","00:00:00:00","00:01:26:17","00:01:26:17","H.264","23.976","640x360","","","",""
"1643","","","V1","C","","00:00:10:21","00:00:13:22","01:29:49:22","01:29:52:23","gettyimages-509638477-640_adpp","","00:00:00:00","00:00:15:05","00:00:15:05","H.264","25.000","480x360","","","",""
"1644","","X","V6","C","","00:00:04:24","00:00:04:24","01:29:49:22","01:29:58:11","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"1645","","","A5","C","","00:00:01:11","00:00:01:19","01:29:49:22","01:29:50:05","1-05 CarAntique-1910 -Door- Open And Close","","00:00:00:00","00:00:09:05","00:00:09:05","","25.000","","","","",""
"1646","","","A7","C","","00:00:48:19","00:00:57:08","01:29:49:22","01:29:58:11","2-06 City, Light (Large City_ Light Ambience Traffic)","","00:00:00:00","00:03:03:06","00:03:03:06","","25.000","","","","",""
"1647","","","A11","C","","00:00:00:01","00:00:08:20","01:29:50:15","01:29:59:09","Audio Process Stream","","00:00:00:00","00:00:08:20","00:00:08:20","","25.000","","","","",""
"1648","","","V1","C","","00:03:05:12","00:03:08:14","01:29:52:23","01:29:56:00","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"1649","","","A6","C","","00:00:00:00","00:00:12:15","01:29:53:15","01:30:06:05","24 Airplane,Biplane Fokker D.vii;Ext;Fly Past","","00:00:00:00","00:00:12:15","00:00:12:15","","25.000","","","","",""
"1650","","","A5","C","","00:00:05:17","00:00:06:12","01:29:54:16","01:29:55:11","1-05 CarAntique-1910 -Door- Open And Close","","00:00:00:00","00:00:09:05","00:00:09:05","","25.000","","","","",""
"1651","","","V1","C","","00:03:09:22","00:03:12:08","01:29:56:00","01:29:58:11","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"1652","","","V1","C","","00:00:01:15","00:00:06:07","01:29:58:11","01:30:03:03","Normandie Carrier 01 LIFE 1941-12-22 EDIT","","00:00:00:00","00:00:07:01","00:00:07:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1653","","","V1","C","","00:04:41:04","00:04:42:16","01:30:03:03","01:30:04:15","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"1654","","X","V6","C","","00:00:04:24","00:00:04:24","01:30:03:03","01:30:10:02","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"1655","","","A11","C","","00:00:00:01","00:00:07:08","01:30:03:05","01:30:10:12","Audio Process Stream","","00:00:00:00","00:00:07:08","00:00:07:08","","25.000","","","","",""
"1656","","","V1","C","","00:05:31:00","00:05:33:04","01:30:04:15","01:30:06:19","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"1657","","","V1","C","","00:06:46:09","00:06:48:07","01:30:06:19","01:30:08:17","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"1658","","","V1","C","","00:06:07:23","00:06:09:08","01:30:08:17","01:30:10:02","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"1659","","","V1","C","","00:00:00:00","00:00:03:14","01:30:10:02","01:30:13:16","Négociations vente Normandie Darlan 01","","00:00:00:00","00:00:04:01","00:00:04:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1660","","","V1","C","","00:00:00:00","00:00:07:02","01:30:13:16","01:30:20:18","Roosevelt cigarette 02","","00:00:00:00","00:00:07:03","00:00:07:03","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1661","","","A11","C","","00:00:00:01","00:00:06:01","01:30:14:03","01:30:20:03","Audio Process Stream","","00:00:00:00","00:00:06:01","00:00:06:01","","25.000","","","","",""
"1662","","","A5","C","","01:00:04:00","01:00:10:06","01:30:14:07","01:30:20:13","Whoosh 03 Exhale","","01:00:04:00","01:00:10:06","00:00:06:06","","25.000","","","","",""
"1663","","","A3","C","","00:05:05:04","00:05:28:23","01:30:15:17","01:30:39:12","111-of-7-r7","","00:00:00:00","00:09:25:12","00:09:25:12","H.264","24.000","","Cocoa","","",""
"1664","","","A3","D","74","01:30:15:17","01:30:18:16","01:30:15:17","01:30:18:16","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1665","","","A7","C","","00:00:00:00","00:00:09:09","01:30:18:02","01:30:27:11","5-67 Whoosh,flaming by2","","00:00:00:00","00:00:09:09","00:00:09:09","","25.000","","","","",""
"1666","","","A6","C","","00:00:11:21","00:00:24:12","01:30:18:09","01:30:31:00","31-Avro Lancaster_ World War II Bomber, 4 Piston Engines_ Exterior_ Pass","","00:00:00:00","00:00:41:18","00:00:41:18","","25.000","","","","",""
"1667","","","A6","D","86","01:30:18:09","01:30:21:20","01:30:18:09","01:30:21:20","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1668","","","V1","C","","00:03:44:03","00:03:46:19","01:30:20:18","01:30:23:10","111-of-7-r7","","00:00:00:00","00:09:25:12","00:09:25:12","H.264","24.000","1920x1080","Cocoa","","",""
"1669","","X","V6","C","","00:00:04:24","00:00:04:24","01:30:20:18","01:30:27:00","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"1670","","","A5","C","","01:00:00:12","01:00:06:20","01:30:20:18","01:30:27:01","Hit 01 Boom","","01:00:00:12","01:00:06:24","00:00:06:12","","25.000","","","","",""
"1671","","","V1","C","","00:01:30:23","00:01:32:11","01:30:23:10","01:30:25:00","exterior-of-new-york-city-police-station-line-of-volunteers-in-police-video-id502782997 (1941-01-01)","","00:00:00:00","00:02:12:25","00:02:12:25","H.264","29.970","480x360","Green,ResolveColorYellow","","",""
"1672","","","A11","C","","00:00:00:01","00:00:06:10","01:30:24:13","01:30:30:22","Audio Process Stream","","00:00:00:00","00:00:06:10","00:00:06:10","","25.000","","","","",""
"1673","","","V1","C","","00:00:52:10","00:00:54:10","01:30:25:00","01:30:27:00","A1647 1940s WWII East Coast Defense, Volunteer Look Outs, New Yotk","","00:00:00:00","00:00:59:12","00:00:59:12","H.264","25.000","640x480","","","",""
"1674","","","V1","C","","00:00:01:00","00:00:05:00","01:30:27:00","01:30:31:00","Hitchcock 7 décembre 01","","00:00:00:00","00:00:06:00","00:00:06:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1675","","","A3","D","227","01:30:30:09","01:30:39:12","01:30:30:09","01:30:39:12","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1676","","","A9","D","125","01:30:30:22","01:30:35:22","01:30:30:22","01:30:35:22","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1677","","","V1","C","","00:00:00:00","00:00:08:14","01:30:31:00","01:30:39:14","Affiche Saboteur 01","","00:00:00:00","00:00:10:00","00:00:10:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"1678","","","A2","C","","00:01:04:04","00:01:30:15","01:30:31:00","01:30:57:11","1941-12-07 CBS - NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:20","00:17:22:20","","25.000","","Yellow","","",""
"1679","","","A11","C","","00:00:00:01","00:00:01:21","01:30:34:02","01:30:35:22","Audio Process Stream","","00:00:00:00","00:00:01:21","00:00:01:21","","25.000","","","","",""
"1680","","","A11","C","","00:00:00:01","00:00:03:14","01:30:35:22","01:30:39:10","Audio Process Stream","","00:00:00:00","00:00:03:14","00:00:03:14","","25.000","","","","",""
"1681","","","V1","C","","00:00:33:04","00:00:50:25","01:30:39:14","01:30:57:07","1953_Play_Your_Part_00_16_29_01_3mb (1941)","","00:00:00:00","00:01:40:28","00:01:40:28","H.264","29.970","640x480","Green","","",""
"1682","","X","V6","C","","00:00:04:24","00:00:04:24","01:30:39:14","01:31:09:13","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"1683","","","A1","C","","00:00:34:12","00:00:50:29","01:30:40:21","01:30:57:11","1953_Play_Your_Part_00_16_29_01_3mb (1941)","","00:00:00:00","00:01:40:28","00:01:40:28","H.264","29.970","","Green","","",""
"1684","","","A5","C","","00:00:04:09","00:00:13:19","01:30:53:00","01:31:02:10","06 Airplane,Turbo Prop Dash 8_Ext_Pass Overhead Before Landing","","00:00:00:00","00:00:28:00","00:00:28:00","","25.000","","","","",""
"1685","","","A5","D","68","01:30:53:00","01:30:55:18","01:30:53:00","01:30:55:18","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1686","","","A9","C","","00:02:14:23","00:02:30:15","01:30:54:14","01:31:10:06","Blackout 02","","00:00:00:00","00:03:42:15","00:03:42:15","","25.000","","Green","","",""
"1687","","","A9","D","71","01:30:54:14","01:30:57:11","01:30:54:14","01:30:57:11","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1688","","","V1","C","","00:00:12:21","00:00:16:14","01:30:57:07","01:31:01:00","door-oss-field-photographic-branch-int-screening-room-w-director-john-video-id509848763 (pearl harbor 1943)","","00:00:00:00","00:00:16:15","00:00:16:15","H.264","25.000","480x360","","","",""
"1689","","","A6","C","","00:00:14:15","00:00:19:18","01:30:57:07","01:31:02:10","06 Airplane,Single Prop At-6;Ext;Pass Overhead","","00:00:00:00","00:00:34:11","00:00:34:11","","25.000","","","","",""
"1690","","","A6","D","42","01:30:57:07","01:30:58:24","01:30:57:07","01:30:58:24","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1691","","","A7","C","","00:00:06:23","00:00:11:03","01:30:58:05","01:31:02:10","13 Explosion Large Blast","","00:00:00:00","00:00:22:16","00:00:22:16","","25.000","","","","",""
"1692","","","A8","C","","00:00:37:09","00:00:40:20","01:30:58:24","01:31:02:10","14 Explosion Rumbling Explosion","","00:00:00:00","00:00:42:15","00:00:42:15","","25.000","","","","",""
"1693","","","A4","C","","00:00:18:14","00:00:20:23","01:31:00:01","01:31:02:10","11 Explosion Small Blast","","00:00:00:00","00:00:34:24","00:00:34:24","","25.000","","","","",""
"1694","","","V5","C","","00:06:15:28","00:06:17:25","01:31:00:14","01:31:02:12","200-UN-14-44 #2 4-6 8 10-14","","00:00:00:00","00:07:59:20","00:07:59:20","H.264","29.970","720x544","Cocoa","","",""
"1695","","","V1","C","","00:00:04:04","00:00:05:14","01:31:01:00","01:31:02:10","door-oss-field-photographic-branch-int-screening-room-w-director-john-video-id509848763 (pearl harbor 1943)","","00:00:00:00","00:00:16:15","00:00:16:15","H.264","25.000","480x360","","","",""
"1696","","","A2","C","","00:01:40:08","00:01:43:00","01:31:01:14","01:31:04:06","1941-12-07 CBS - NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:20","00:17:22:20","","25.000","","Yellow","","",""
"1697","","","V1","C","18","00:00:21:01","00:00:22:12","01:31:02:10","01:31:04:11","gettyimages-813562406 1935","","00:00:00:00","00:01:18:19","00:01:18:19","H.264","23.976","640x360","","","",""
"M2","","","","","18.0","00:00:21:01","","","","","","","","","","","","","","",""
"1698","","","A4","C","","00:00:05:00","00:00:32:10","01:31:02:10","01:31:29:20","7-47 Office, Ambience - In Old Newsroom, Voices, Telephones, Typewriters","","00:00:00:00","00:00:54:20","00:00:54:20","","25.000","","","","",""
"1699","","","A5","C","","00:00:28:05","00:00:30:06","01:31:02:10","01:31:04:11","76 Projector - Film Projector - Super 8","","00:00:00:00","00:00:55:03","00:00:55:03","","25.000","","","","",""
"1700","","","A2","C","","00:02:37:22","00:02:38:06","01:31:04:06","01:31:04:15","1941-12-07 CBS - NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:20","00:17:22:20","","25.000","","Yellow","","",""
"1701","","","V1","C","","00:00:00:07","00:00:01:18","01:31:04:11","01:31:05:23","SR002460_09_01 71164 (1941-05-01)","","00:00:00:00","00:00:29:22","00:00:29:22","H.264","23.976","640x360","","","",""
"1702","","","A2","C","","00:01:43:00","00:01:46:00","01:31:04:15","01:31:07:15","1941-12-07 CBS - NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:20","00:17:22:20","","25.000","","Yellow","","",""
"1703","","","V5","C","","00:06:12:09","00:06:14:08","01:31:05:15","01:31:07:15","200-UN-14-44 #2 4-6 8 10-14","","00:00:00:00","00:07:59:20","00:07:59:20","H.264","29.970","720x544","Cocoa","","",""
"1704","","","V1","C","","00:00:04:11","00:00:06:03","01:31:05:23","01:31:07:15","SR002460_09_01 71164 (1941-05-01)","","00:00:00:00","00:00:29:22","00:00:29:22","H.264","23.976","640x360","","","",""
"1705","","","A1","C","","00:03:08:11","00:03:10:02","01:31:05:23","01:31:07:15","1941-12-07 CBS NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:19","00:17:22:19","","25.000","","Green","","",""
"1706","","","A3","C","","00:11:01:19","00:11:02:15","01:31:06:19","01:31:07:15","1941-12-07 CBS NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:19","00:17:22:19","","25.000","","Green","","",""
"1707","","","V1","C","20","06:03:10:11","06:03:11:24","01:31:07:15","01:31:09:13","14 UNI101-36-40","","06:03:01:21","06:03:45:20","00:00:43:24","H.264","25.000","1024x576","","","",""
"M2","","","","","20.0","06:03:10:11","","","","","","","","","","","","","","",""
"1708","","","V5","C","","00:00:00:00","00:00:01:23","01:31:07:15","01:31:09:13","gettyimages-2025-186-640_adpp","","00:00:00:00","00:00:02:07","00:00:02:07","H.264","25.000","480x360","","","",""
"1709","","","A1","C","","00:03:13:02","00:03:16:15","01:31:07:15","01:31:11:02","1941-12-07 CBS NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:19","00:17:22:19","","25.000","","Green","","",""
"1710","","","A3","C","","00:11:05:15","00:11:27:20","01:31:07:15","01:31:29:20","1941-12-07 CBS NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:19","00:17:22:19","","25.000","","Green","","",""
"1711","","","A2","C","","00:00:37:10","00:00:38:12","01:31:08:13","01:31:09:15","1941-12-07 CBS John Charles Daly - Reports Pearl Harbor Attack","","00:00:00:00","00:02:21:04","00:02:21:04","","25.000","","Yellow","","",""
"1712","","","V1","C","0","00:00:00:00","00:00:00:00","01:31:09:13","01:31:12:16","gettyimages-72401468-2048x2048","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1566x2048","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"1713","","","A2","C","","00:00:31:19","00:00:35:01","01:31:09:15","01:31:12:22","1941-12-07 CBS John Charles Daly - Reports Pearl Harbor Attack","","00:00:00:00","00:02:21:04","00:02:21:04","","25.000","","Yellow","","",""
"1714","","","A5","C","","00:00:00:10","00:00:03:07","01:31:10:02","01:31:12:24","9-09 Old Telephone Bell Ring, Single, Short","","00:00:00:00","00:00:08:11","00:00:08:11","","25.000","","","","",""
"1715","","","A9","C","","00:02:30:15","00:03:30:14","01:31:10:06","01:32:10:05","Blackout 02","","00:00:00:00","00:03:42:15","00:03:42:15","","25.000","","Green","","",""
"1716","","","A1","C","","00:04:33:00","00:04:38:10","01:31:12:05","01:31:17:15","1941-12-07 CBS NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:19","00:17:22:19","","25.000","","Green","","",""
"1717","","","V1","C","20","06:03:12:02","06:03:13:17","01:31:12:16","01:31:14:16","14 UNI101-36-40","","06:03:01:21","06:03:45:20","00:00:43:24","H.264","25.000","1024x576","","","",""
"M2","","","","","20.0","06:03:12:02","","","","","","","","","","","","","","",""
"1718","","","V5","C","18","00:00:00:10","00:00:01:21","01:31:12:16","01:31:14:16","gettyimages-2025-187-640_adpp","","00:00:00:00","00:00:01:22","00:00:01:22","H.264","25.000","480x360","","","",""
"M2","","","","","18.0","00:00:00:10","","","","","","","","","","","","","","",""
"1719","","","A2","C","","00:02:37:22","00:02:39:14","01:31:13:12","01:31:15:04","1941-12-07 CBS - NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:20","00:17:22:20","","25.000","","Yellow","","",""
"1720","","","V1","C","0","00:00:00:00","00:00:00:00","01:31:14:16","01:31:17:10","PMA7P[1-1]","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1039x1390","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"1721","","","V1","C","","06:03:07:17","06:03:09:17","01:31:17:10","01:31:19:10","14 UNI101-36-40","","06:03:01:21","06:03:45:20","00:00:43:24","H.264","25.000","1024x576","","","",""
"1722","","","V5","C","","00:00:00:00","00:00:02:00","01:31:17:10","01:31:19:10","gettyimages-2025-185-640_adpp","","00:00:00:00","00:00:02:09","00:00:02:09","H.264","25.000","480x360","","","",""
"1723","","","A5","C","","00:00:20:00","00:00:30:04","01:31:17:10","01:31:27:14","Drone-Wind-03","","00:00:00:00","00:01:01:22","00:01:01:22","","25.000","","","","",""
"1724","","","A5","D","59","01:31:17:10","01:31:19:19","01:31:17:10","01:31:19:19","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1725","","","V1","C","0","00:00:00:00","00:00:00:00","01:31:19:10","01:31:22:16","HLH 19","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","3875x5374","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"1726","","","A1","C","","00:02:13:11","00:02:19:12","01:31:19:19","01:31:25:20","1941-12-07 CBS John Charles Daly - Reports Pearl Harbor Attack","","00:00:00:00","00:02:21:04","00:02:21:04","","25.000","","Yellow","","",""
"1727","","","A6","C","","00:01:00:16","00:01:06:19","01:31:21:00","01:31:27:03","15-18 Fire,Forest Forest Fire Crackling,Rumble,Some Roar","","00:00:00:00","00:01:36:17","00:01:36:17","","25.000","","","","",""
"1728","","","A6","D","40","01:31:21:00","01:31:22:16","01:31:21:00","01:31:22:16","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1729","","","V1","C","","00:00:29:15","00:00:33:06","01:31:22:16","01:31:26:09","gettyimages-502796103-640_adpp","","00:00:00:00","00:00:37:03","00:00:37:03","H.264","29.970","480x360","","","",""
"1730","","","A6","D","66","01:31:24:11","01:31:27:03","01:31:24:11","01:31:27:03","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1731","","","A2","C","","00:00:43:15","00:00:46:20","01:31:25:06","01:31:28:11","1941-12-07 CBS - NY Philharmonic Concert - War Bulletins","","00:00:00:00","00:17:22:20","00:17:22:20","","25.000","","Yellow","","",""
"1732","","","A5","D","50","01:31:25:14","01:31:27:14","01:31:25:14","01:31:27:14","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1733","","","V1","C","0","00:00:00:00","00:00:00:00","01:31:26:09","01:31:29:20","fhl_1966 ([1936-1936])","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","650x768","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"1734","","","V1","C","","00:00:52:23","00:00:54:20","01:31:29:20","01:31:31:18","HD Stock Video Footage - People listen to radio broadcast as Prince Edward VIII bids farewell to his people and British Empire.","","00:00:00:00","00:02:11:14","00:02:11:14","H.264","29.970","640x360","","","",""
"1735","","X","V6","C","","00:00:04:24","00:00:04:24","01:31:29:20","01:31:33:15","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"1736","","","A5","C","","00:00:27:19","00:00:29:00","01:31:29:20","01:31:31:01","43 Radio,Tuning Tuning Across Dial Of Old Radio","","00:00:00:00","00:00:35:16","00:00:35:16","","25.000","","","","",""
"1737","","","A1","C","","00:00:00:00","00:00:05:13","01:31:30:02","01:31:35:15","WNYC La Guardia on Pearl Harbor 19411207","","00:00:00:00","00:08:36:19","00:08:36:19","","25.000","","Green","","",""
"1738","","","V1","C","","00:01:21:12","00:01:23:08","01:31:31:18","01:31:33:15","HD Stock Video Footage - People listen to radio broadcast as Prince Edward VIII bids farewell to his people and British Empire.","","00:00:00:00","00:02:11:14","00:02:11:14","H.264","29.970","640x360","","","",""
"1739","","","V1","C","0","00:00:00:00","00:00:00:00","01:31:33:15","01:31:35:15","gettyimages-514192734-2048x[2048-2048]","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","2048x1802","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"1740","","","V1","C","","00:00:09:07","00:00:11:00","01:31:35:15","01:31:37:08","gettyimages-1076831306-640_adpp","","00:00:00:00","00:00:18:01","00:00:18:01","H.264","23.976","640x360","","","",""
"1741","","X","V6","C","","00:00:04:24","00:00:04:24","01:31:35:15","01:31:43:23","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"1742","","","A1","C","","00:00:06:16","00:00:13:09","01:31:35:15","01:31:42:09","WNYC La Guardia on Pearl Harbor 19411207","","00:00:00:00","00:08:36:19","00:08:36:19","","25.000","","Green","","",""
"1743","","","A4","C","","00:01:21:04","00:01:29:12","01:31:35:15","01:31:43:23","1-16 Crowd, Outdoor (Medium Crowd_ General Ambience)","","00:00:00:00","00:03:02:18","00:03:02:18","","25.000","","","","",""
"1744","","","A4","D","4","01:31:35:15","01:31:35:19","01:31:35:15","01:31:35:19","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1745","","","A8","C","","00:00:12:09","00:00:20:10","01:31:35:22","01:31:43:23","gettyimages-509709227-640_adpp","","00:00:00:00","00:00:26:12","00:00:26:12","H.264","25.000","","","","",""
"1746","","","A8","D","25","01:31:35:22","01:31:36:22","01:31:35:22","01:31:36:22","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1747","","","V1","C","","00:00:13:03","00:00:14:01","01:31:37:08","01:31:38:06","Air Raid Precautions In New York | AP Archive (1942)","","00:00:00:00","00:01:10:14","00:01:10:14","H.264","25.000","640x360","","","",""
"1748","","","V1","C","","00:00:14:17","00:00:16:00","01:31:38:06","01:31:39:14","Air Raid Precautions In New York | AP Archive (1942)","","00:00:00:00","00:01:10:14","00:01:10:14","H.264","25.000","640x360","","","",""
"1749","","","A5","C","","00:00:07:12","00:00:13:01","01:31:38:09","01:31:43:23","1-97 CarVolkswagen--Ext- Pass By","","00:00:00:00","00:00:20:14","00:00:20:14","","25.000","","","","",""
"1750","","","A5","D","25","01:31:38:09","01:31:39:09","01:31:38:09","01:31:39:09","Cross Fade 0 dB","","","","","","0.000","","","","",""
"1751","","","V1","C","","00:00:22:15","00:00:23:21","01:31:39:14","01:31:40:20","Air Raid Precautions In New York | AP Archive (1942)","","00:00:00:00","00:01:10:14","00:01:10:14","H.264","25.000","640x360","","","",""
"1752","","","V1","C","","00:01:00:06","00:01:01:16","01:31:40:20","01:31:42:05","Air Raid Precautions In New York | AP Archive (1942)","","00:00:00:00","00:01:10:14","00:01:10:14","H.264","25.000","640x360","","","",""
"1753","","","A3","C","","00:00:00:00","00:00:11:20","01:31:41:17","01:31:53:13","Military Battle WW2","","00:00:00:00","00:01:37:07","00:01:37:07","","25.000","","","","",""
"1754","","","V1","C","","00:00:13:24","00:00:15:15","01:31:42:05","01:31:43:23","OCD HistoricFilms_P-218-4_01.06.49-01.07.37","","00:00:00:00","00:00:53:29","00:00:53:29","H.264","29.970","480x360","Green","","",""
"1755","","","A1","C","","00:06:55:23","00:06:57:08","01:31:42:09","01:31:43:19","WNYC La Guardia on Pearl Harbor 19411207","","00:00:00:00","00:08:36:19","00:08:36:19","","25.000","","Green","","",""
