"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"88","","","V1","C","","00:10:00:19","00:10:02:20","01:01:25:24","01:01:28:00","Normandie voyage inaugural","","00:00:00:00","00:11:07:18","00:11:07:18","H.264","25.000","702x576","","","",""
"89","","","V1","C","","00:10:57:16","00:10:58:12","01:01:28:00","01:01:28:21","Normandie voyage inaugural","","00:00:00:00","00:11:07:18","00:11:07:18","H.264","25.000","702x576","","","",""
"90","","","A11","C","","00:00:00:01","00:00:06:04","01:01:28:10","01:01:34:13","Audio Process Stream","","00:00:00:00","00:00:06:04","00:00:06:04","","25.000","","","","",""
"91","","","V1","C","","00:01:39:18","00:01:40:17","01:01:28:21","01:01:29:20","Gaumont Pathé Archives - 3522EJ 24323 - NORMANDIE AU HAVRE. NORMANDIE","","00:00:00:00","00:01:42:11","00:01:42:11","H.264","25.000","640x480","","","",""
"92","","","V1","C","","00:01:12:18","00:01:13:15","01:01:29:20","01:01:30:17","Gaumont Pathé Archives - 3522EJ 24323 - NORMANDIE AU HAVRE. NORMANDIE","","00:00:00:00","00:01:42:11","00:01:42:11","H.264","25.000","640x480","","","",""
"93","","","A1","C","","00:04:04:10","00:04:13:09","01:01:29:20","01:01:38:19","P-212-60","","00:00:00:00","00:10:19:22","00:10:19:22","H.264","23.976","","Green","","",""
"94","","","V1","C","18","00:01:16:00","00:01:16:19","01:01:30:17","01:01:31:19","Voyage inaugural du Normandie DIAZ 1935","","00:00:00:00","00:05:07:11","00:05:07:11","H.264","25.000","960x720","","","",""
"M2","","","","","18.0","00:01:16:00","","","","","","","","","","","","","","",""
"95","","","V1","C","","00:00:19:03","00:00:20:03","01:01:31:19","01:01:32:19","Normandie Starts Maiden Voyage | AP Archive (1935)","","00:00:00:00","00:00:55:21","00:00:55:21","H.264","25.000","640x360","","","",""
"96","","","V1","C","","00:00:06:13","00:00:07:10","01:01:32:19","01:01:33:16","1935-Passenger Ship - 1930-1959 ~ Stock Footage #77860668","","00:00:00:00","00:01:50:02","00:01:50:02","H.264","25.000","720x540","Green","","",""
"97","","","A4","C","","00:00:00:00","00:00:05:12","01:01:33:00","01:01:38:12","42 Applause,Cheering Outdoor_Stadium,Medium Crowd","","00:00:00:00","00:00:30:17","00:00:30:17","","25.000","","","","",""
